station_name,address,latitude,longitude,capacity_kw,total_chargers,slow_chargers,fast_chargers,outlet_chargers
"청계3 노상공영주차장(고려상사 앞, 가로등)",서울 중구 방산동 91-2,37.5681911242736,127.00200916931341,50,1,0,1,0
"청계3 노상공영주차장(코리아몰 앞, 가로등)",서울 중구 방산동 4-10(청계5가지하쇼핑센터),37.56885335697503,127.00195542012266,50,1,0,1,0
훈련원공원 노상공영주차장(가로등),서울 중구 을지로 227(훈련원공원),37.56707832191809,127.00460121225761,50,1,0,1,0
신정4동길 노상공영주차장(가로등),서울 양천구 신정중앙로 35,37.52753983257319,126.85554565962467,100,2,0,2,0
고척스카이돔,서울 구로구 안양천로 545,37.4958145252759,126.867395941031,547,7,1,6,0
봉화산역 공영주차장 전기차 충전소,서울 중랑구 신내로 211(금강리빙스텔),37.616358457335096,127.09186406591597,14,2,2,0,0
수유동 가오천 공영주차장 전기차 충전소,서울 강북구 한천로150길 20(신성자동차공업사),37.643511505890174,127.02376610724671,7,1,1,0,0
으뜸공원 공영주차장 전기차 충전소,서울 강북구 솔샘로67길 33,37.618846064274784,127.0280851443128,7,1,1,0,0
미아동 도봉세무서 앞 전기차 충전소,서울 강북구 도봉로 117(도봉세무서),37.61936414168593,127.02804569463298,7,1,1,0,0
미아동 축산농협 전기차 충전소,서울 강북구 도봉로 136(풍양빌딩),37.62113886565885,127.02896387149204,14,2,2,0,0
북가좌동 공영주차장 전기차 충전소,서울 서대문구 거북골로14길 86,37.57873712347762,126.91349165658997,7,1,1,0,0
문정동 세광교회 앞 전기차 충전소,서울 송파구 동남로4길 37(문정동 빌딩),37.4868395754876,127.125105353712,7,1,1,0,0
문정1동 주민센터 앞 전기차 충전소,서울 송파구 동남로 116(문정1동주민센터),37.49015331544699,127.12406561755023,0,0,0,0,0
위례성길 공영주차장 전기차 충전소,서울 송파구 위례성대로 68(방이동한양빌딩),37.51452955170012,127.1201527124197,57,2,1,1,0
교통공원길 공영주차장 전기차 충전소,서울 송파구 올림픽로35가길 11(한신잠실코아),37.51553588092588,127.10411490180456,57,2,1,1,0
반포복개천 노상공영주차장(가로등),서울 서초구 고무래로 35-2(구두수선대),37.50438185749169,127.00999770676981,50,1,0,1,0
잠실 청소년센터 앞 전기차 충전소(가로등),서울 송파구 올림픽로8길 20(잠실아이파크),37.5096618957741,127.0803152829935,50,1,0,1,0
홍제동 주영빌딩 앞 전기차 충전소(가로등),서울 서대문구 홍제내길 128(주영빌딩),37.588081526675495,126.93649902323773,50,1,0,1,0
여의도 KBS홀 앞 전기차 충전소,서울 영등포구 여의공원로 13(한국방송공사),37.5259663951923,126.91447462970731,64,3,2,1,0
자양우성1차아파트 앞 전기차 충전소(가로등),서울 광진구 자양번영로 45,37.53386578463906,127.0758382313991,50,1,0,1,0
자양한양아파트 앞 전기차 충전소(가로등),서울 광진구 구의강변로 11(자양한양아파트),37.53177322307706,127.09169799653175,50,1,0,1,0
어린이대공원 구의문 주차장 복합충전소,서울 광진구 능동로 216(어린이대공원),37.54539249068248,127.08479505677205,600,6,0,6,0
수서역 공영주차장 복합충전소,서울 강남구 광평로47길 28(KT),37.48756710511688,127.10072352329027,600,6,0,6,0
해맞이공영주차장,서울 양천구 지양로 53(해맞이 공영주차장),37.5201226874969,126.834847144803,100,1,0,1,0
기업은행 무교지점 앞 가로등형 충전소,서울 중구 무교로 20(어린이재단),37.56764422968801,126.97933117564612,50,1,0,1,0
도곡정보문화도서관 볼라드형 충전소,서울 강남구 도곡로18길 57(도곡정보문화도서관),37.4883103031337,127.038880370672,14,2,2,0,0
SK허브수 인근 거주자우선주차장 볼라드형 충전소,서울 구로구 구일로10길 27(SK허브수),37.4959404465654,126.872266560677,14,2,2,0,0
적선동 공영주차장,서울 종로구 새문안로5길 49-1(구두수선대),37.5747848980852,126.974336740533,100,2,0,2,0
강남구 압구정 나들목 앞 가로등형 충전기,서울 강남구 개포로 510(현대빌딩),37.530745,127.041305,100,2,0,2,0
광진구 자양동 거주자우선주차장 가로등형 충전기,서울 광진구 자양동 787(삼성아파트),37.5322139950177,127.071628722208,50,1,0,1,0
드림디포 앞 가로등형 충전소,서울 마포구 토정로 271(대현빌딩),37.5424624834344,126.940310619041,50,1,0,1,0
동작구청 후문 가로등형 충전소,서울 동작구 장승배기로 161(동작구청),37.51252777344,126.939942092863,50,1,0,1,0
화창운수 앞 가로등형 충전소,서울 마포구 토정로 272,37.5423063718242,126.939840251344,50,1,0,1,0
홍제1동 제1공영주차장,서울 서대문구 홍제내2바길 18(이안휴빌A동),37.5849404918231,126.937523483715,100,2,0,2,0
천호역 공영주차장,서울 강동구 천호대로 지하 997(천호역),37.5385789820645,127.123742434482,50,1,0,1,0
창동역 공영주차장,서울 도봉구 마들로11길 74(플랫폼 창동 61),37.654450957473536,127.04830411900778,50,1,0,1,0
중랑구청,서울 중랑구 봉화산로 179(중랑구청),37.60690597964962,127.09327374272101,100,2,0,2,0
어린이대공원 후문주차장,서울 광진구 능동로 216(어린이대공원),37.551508718085806,127.08692953207202,50,1,0,1,0
양천구청,서울 양천구 목동동로 105(양천구청),37.51728565211758,126.86636514151544,50,1,0,1,0
송월동차고지,서울 종로구 송월길 52(국립기상박물관),37.57054694008993,126.96630149101044,299,13,7,6,0
